id,title,author/0,author/1,author/2,institution/0,citedby/0,year,author/3,institution/1,cites/0,cites/1,cites/2,cites/3,cites/4,cites/5,citedby/1,author/4,citedby/2,citedby/3,citedby/4,citedby/5,citedby/6,citedby/7,citedby/8,citedby/9,citedby/10,citedby/11,citedby/12,citedby/13,citedby/14,citedby/15,citedby/16,institution/2,citedby/17,citedby/18,citedby/19,citedby/20,citedby/21,citedby/22,citedby/23,citedby/24,citedby/25,citedby/26,citedby/27,citedby/28,citedby/29,citedby/30,citedby/31,citedby/32,citedby/33,citedby/34,citedby/35,citedby/36,citedby/37,citedby/38,citedby/39,citedby/40,citedby/41,citedby/42,citedby/43,citedby/44,citedby/45,citedby/46,citedby/47,citedby/48,citedby/49,citedby/50,citedby/51,citedby/52,citedby/53,citedby/54,citedby/55,citedby/56,citedby/57,citedby/58,citedby/59,citedby/60,citedby/61,author/5,author/6,institution/3,cites/6,cites/7,cites/8,citedby/62,citedby/63,citedby/64,citedby/65,citedby/66,citedby/67,citedby/68,citedby/69,citedby/70,citedby/71,citedby/72,citedby/73,citedby/74,citedby/75,citedby/76,citedby/77,citedby/78,citedby/79,citedby/80,citedby/81,citedby/82,citedby/83,citedby/84,citedby/85,citedby/86,citedby/87,citedby/88,institution/4,institution/5,institution/6,author/7,cites/9,author/8,author/9,author/10,author/11,author/12,author/13,cites/10,cites/11,institution/7,institution/8,cites/12,cites/13,cites/14,cites/15,cites/16,cites/17,cites/18,cites/19,cites/20,cites/21,cites/22,cites/23
10.1007/3-540-44541-2_11,2D-Structure Drawings of Similar Molecules,J. D. Boissonnat,F. Cazals,J. Flötotto,INRIA Sophia Antipolis,10.1007/3-540-44541-2_11,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_12,Fast Layout Methods for Timetable Graphs,Galina Shubina,Dorothea Wagner,Ulrik Brandes,Brown University,10.1007/978-3-540-31843-9_46,2000,Roberto Tamassia,University of Konstanz,10.1007/3-540-37623-2_12,10.1007/3-540-37623-2_13,10.1007/3-540-37623-2_28,10.1007/3-540-46648-7_12,10.1007/3-540-37623-2_4,10.1007/3-540-63938-1_68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_13,An Algorithmic Framework for Visualizing Statecharts,R. Mili,R. Castelló,I. G. Tollis,The University of Texas at Dallas,10.1007/3-540-36151-0_7,2000,,,10.1007/3-540-63938-1_60,10.1007/3-540-62495-3_52,10.1007/3-540-62495-3_42,10.1007/3-540-63938-1_58,10.1007/3-540-63938-1_86,,10.1007/3-540-45848-4_56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_14,Visualization of the Autonomous Systems Interconnections with Hermes,Maurizio Pizzonia,Andrea Carmignani,Giuseppe Di Battista,Università di Roma Tre,10.1007/3-540-45848-4_38,2000,Walter Didimo,,10.1007/BFb0021809,10.1007/3-540-37623-2_5,10.1007/BFb0021824,10.1007/3-540-63938-1_77,10.1007/3-540-46648-7_31,,10.1007/978-3-540-77537-9_36,Francesco Matera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_15,Drawing Hypergraphs in the Subset Standard (Short Demo Paper),Peter Eades,François Bertault,,The University of Sydney,,2000,,Tom Sawyer Software,10.1007/3-540-36151-0_43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_16,Knowledge Discovery from Graphs,David Jensen,,,University of Massachusetts,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_17,A Multilevel Algorithm for Force-Directed Graph Drawing,C. Walshaw,,,University of Greenwich,10.1007/11618058_22,2000,,,10.1007/3-540-46648-7_19,10.1007/3-540-62495-3_41,10.1007/3-540-62495-3_42,,,,10.1007/978-3-540-70904-6_5,,10.1007/11618058_31,10.1007/978-3-642-00219-9_10,10.1007/978-3-540-24595-7_40,10.1007/978-3-540-31843-9_44,10.1007/3-540-36151-0_20,10.1007/3-540-36151-0_35,10.1007/978-3-319-03841-4_24,10.1007/3-540-44541-2_17,10.1007/11618058_28,10.1007/978-3-540-31843-9_25,10.1007/978-3-540-31843-9_29,10.1007/978-3-642-00219-9_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_18,A Fast Multi-scale Method for Drawing Large Graphs,Yehuda Koren,David Harel,,The Weizmann Institute of Science,10.1007/11618058_22,2000,,,10.1007/BFb0021792,,,,,,10.1007/978-3-540-70904-6_5,,10.1007/978-3-540-24595-7_42,10.1007/978-3-642-00219-9_10,10.1007/978-3-540-24595-7_40,10.1007/978-3-540-31843-9_44,10.1007/3-540-44541-2_19,10.1007/3-540-36151-0_20,10.1007/978-3-642-00219-9_20,10.1007/978-3-642-36763-2_2,10.1007/978-3-319-27261-0_2,10.1007/978-3-662-45803-7_20,10.1007/11618058_28,10.1007/978-3-540-31843-9_25,10.1007/3-540-44541-2_20,10.1007/978-3-540-31843-9_29,10.1007/3-540-44541-2_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-44541-2_10,How to Draw the Minimum Cuts of a Planar Graph,Sabine Cornelsen,Dorothea Wagner,Ulrik Brandes,University of Konstanz,10.1007/978-3-540-24595-7_33,2000,,,10.1007/3-540-63938-1_58,10.1007/3-540-37623-2_44,10.1007/3-540-62495-3_49,,,,10.1007/3-540-45848-4_5,,10.1007/978-3-642-25878-7_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-62495-3_60,A pairing technique for area-efficient orthogonal drawings (extended abstract),Ioannis G. Tollis,Achilleas Papakostas,,The University of Texas at Dallas,,1996,,,10.1007/3-540-58950-3_355,10.1007/BFb0021788,10.1007/3-540-58950-3_384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
